Link ID,Start Node ,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
88810-34212,88810,114.2064473,22.32015576,34212,114.2037048,22.32260844,K,MAJOR ROUTE
88812-88827,88812,114.1815301,22.30755982,88827,114.1811893,22.30721548,K,URBAN ROAD
88813-888131,88813,114.2129853,22.3165776,888131,114.2134751,22.31617992,K,MAJOR ROUTE
88814-888141,88814,114.2239989,22.3062443,888141,114.2244663,22.30652489,K,MAJOR ROUTE
88816-888161,88816,114.1874131,22.3260385,888161,114.1878971,22.32630978,K,URBAN ROAD
88817-888171,88817,114.2041208,22.33520499,888171,114.2046008,22.33494307,K,MAJOR ROUTE
88818-888181,88818,114.1837536,22.30466915,888181,114.1840662,22.30424282,K,URBAN ROAD
88819-888191,88819,114.1737778,22.29472123,888191,114.1732026,22.29467493,K,URBAN ROAD
88820-888201,88820,114.1679676,22.30165065,888201,114.1679273,22.30218911,K,URBAN ROAD
88821-888211,88821,114.190292,22.32065356,888211,114.1904645,22.32124801,K,MAJOR ROUTE
88822-888221,88822,114.1655275,22.31160711,888221,114.165135,22.31112507,K,URBAN ROAD
88824-34372,88824,114.1904052,22.32067437,34372,114.1874229,22.31408382,K,MAJOR ROUTE
88825-3484,88825,114.1772496,22.31506972,3484,114.1769319,22.31331063,K,MAJOR ROUTE
88827-34552,88827,114.1811893,22.30721548,34552,114.1799836,22.30603359,K,URBAN ROAD
88827-888303,88827,114.1811893,22.30721548,888303,114.1815425,22.30600094,K,URBAN ROAD
888131-3639,888131,114.2134751,22.31617992,3639,114.2221719,22.30636811,K,MAJOR ROUTE
888141-3637,888141,114.2244663,22.30652489,3637,114.2276549,22.30850831,K,MAJOR ROUTE
888151-3633,888151,114.233025,22.30722585,3633,114.2334068,22.3067294,K,MAJOR ROUTE
888161-3419,888161,114.1878971,22.32630978,3419,114.1891374,22.32699573,K,URBAN ROAD
888171-3644,888171,114.2046008,22.33494307,3644,114.2050832,22.32958324,K,MAJOR ROUTE
888181-3715,888181,114.1840662,22.30424282,3715,114.1842724,22.30092907,K,URBAN ROAD
888191-3459,888191,114.1732026,22.29467493,3459,114.1724093,22.29463463,K,URBAN ROAD
888201-3470,888201,114.1679273,22.30218911,3470,114.1634956,22.30263266,K,URBAN ROAD
888211-34221,888211,114.1904645,22.32124801,34221,114.1914386,22.32336501,K,MAJOR ROUTE
888221-3010,888221,114.165135,22.31112507,3010,114.1647665,22.31062727,K,URBAN ROAD
888231-3503,888231,114.174364,22.31697177,3503,114.1740005,22.31646397,K,URBAN ROAD
888241-88824,888241,114.1905357,22.32120836,88824,114.1904052,22.32067437,K,MAJOR ROUTE
888301-3692,888301,114.1617675,22.3090087,3692,114.1600885,22.30556939,K,MAJOR ROUTE
888302-888303,888302,114.1806891,22.30690928,888303,114.1815425,22.30600094,K,MAJOR ROUTE
888303-3453,888303,114.1815425,22.30600094,3453,114.1810101,22.3040565,K,MAJOR ROUTE
991001-992001,991001,114.2069726,22.4269758,992001,114.2071339,22.42687512,ST,MAJOR ROUTE
991002-992004,991002,114.2109834,22.42434795,992004,114.2111347,22.42423472,ST,MAJOR ROUTE
991003-992007,991003,114.2135652,22.4170395,992007,114.21353,22.41686187,ST,MAJOR ROUTE
991004-992010,991004,114.2094935,22.40605991,992010,114.2093231,22.40597311,ST,MAJOR ROUTE
991005-992013,991005,114.2073479,22.40479698,992013,114.2071933,22.40468769,ST,MAJOR ROUTE
991006-992016,991006,114.2138057,22.40948258,992016,114.2139493,22.40936094,ST,MAJOR ROUTE
991007-992019,991007,114.2178802,22.40609472,992019,114.2180014,22.40595395,ST,MAJOR ROUTE
991008-992022,991008,114.212658,22.39967291,992022,114.2125349,22.39953318,ST,MAJOR ROUTE
991009-992025,991009,114.2095999,22.39249963,992025,114.2096192,22.39231992,ST,MAJOR ROUTE
991010-992028,991010,114.2105939,22.38975782,992028,114.2106731,22.38959291,ST,MAJOR ROUTE
991011-992031,991011,114.2112212,22.38803748,992031,114.2112387,22.38785761,ST,MAJOR ROUTE
991012-992034,991012,114.210313,22.37992746,992034,114.2103401,22.37974861,ST,MAJOR ROUTE
991013-992037,991013,114.2112392,22.37809249,992037,114.2113792,22.3779673,ST,MAJOR ROUTE
991015-992042,991015,114.2044856,22.40216495,992042,114.2043675,22.40202156,ST,MAJOR ROUTE
